x,y,name,type,adm2code,adm1code,adm1_en,adm2_en,adm0code,adm0_en,total,male,female
-72.3219215642715,19.3621821,A Bientot (L'Hopital SMA),hospital,HT0551,HT05,Artibonite,Saint-Michel de l'Attalaye,HT,Haiti,150511,74409,76102
-72.0833463,19.0661359,ABRICOT,hospital,HT0611,HT06,Centre,Hinche,HT,Haiti,120867,61178,59689
-73.783333,18.5,ABRICOTS HOSPITAL MATERNITE DES ABRICOTS,hospital,HT0834,HT08,Grande'Anse,Pestel,HT,Haiti,44659,23820,20839
-72.2433692,18.550346,AIMER - IMANA - CDRS primary / emergency care medical facility,hospital,HT0118,HT01,West,Tabarre,HT,Haiti,130283,61480,68803
-71.8398701,19.6654455,AMIMED Laboratoire de Biologie Médicale et Pharmacie,hospital,HT0411,HT04,North-East,Fort-Liberte,HT,Haiti,34434,17014,17420
-73.05,19.633333,ANSE ROUGE HOSPITAL ANSE ROUGE (A.F.M.E.),hospital,HT0523,HT05,Artibonite,Anse Rouge,HT,Haiti,43395,21763,21632
-72.5124064,18.7695917,ARCAHAIE HOSPITAL SAINT JOSEPH DE GALILEE,hospital,HT0141,HT01,West,Arcahaie,HT,Haiti,130306,65206,65100
-72.6085214,18.5143442,ASILE ST VINCENT DE PAUL,hospital,HT0121,HT01,West,Leogane,HT,Haiti,199813,99210,100603
-72.3297564,18.5779946,AVSI,hospital,HT0117,HT01,West,Cite Soleil,HT,Haiti,265072,129887,135185
-72.2689453,18.6358665,Abrit hopital michel benette,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-72.183933,18.539474,Ag/s,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-73.0188271,19.7453361,Agent Paulonne Dorvilus,hospital,HT0911,HT09,North-West,Port-de-Paix,HT,Haiti,203975,98610,105365
-72.9675979,19.7261541,Agent de Sante Mauviles Maurisier,hospital,HT0523,HT05,Artibonite,Anse Rouge,HT,Haiti,43395,21763,21632
-72.4906009,19.0253395,Albert Schweitzer,hospital,HT0532,HT05,Artibonite,Verrettes,HT,Haiti,144812,72157,72655
-72.6808157,19.6692818,Alma Mater,hospital,HT0521,HT05,Artibonite,Gros Morne,HT,Haiti,155692,78233,77459
-72.2753609,18.6444452,Annexe Evie Laboratoire D'analyses Medicales,hospital,HT0131,HT01,West,Croix-Des-Bouquets,HT,Haiti,249628,122332,127296
-73.824715,18.493513,Anse -à- Maçon,hospital,HT0834,HT08,Grande'Anse,Pestel,HT,Haiti,44659,23820,20839
-72.2471385,18.5523459,Argentina Hospital,hospital,HT0118,HT01,West,Tabarre,HT,Haiti,130283,61480,68803
-72.2789109,18.575953,Argentina Temporary Hospital,hospital,HT0118,HT01,West,Tabarre,HT,Haiti,130283,61480,68803
-72.3329697,18.5811441,Avsi centre nutrition,hospital,HT0117,HT01,West,Cite Soleil,HT,Haiti,265072,129887,135185
-73.071157,18.4331752,BERACA,hospital,HT1011,HT10,Nippes,Miragoane,HT,Haiti,62528,31656,30872
-72.3006499,18.566684,BETHESDA MATERNTE,hospital,HT0112,HT01,West,Delmas,HT,Haiti,395260,187328,207932
-72.21179,19.112799,BOIS - ROUGE,hospital,HT0612,HT06,Centre,Maissade,HT,Haiti,58942,30322,28620
