row,villcode,longitude,latitude,examined,infected,elevation,mean_ndvi,max_ndvi,min_ndvi,stdev_ndvi
1,214,8.04186,5.73675,162,0,108,0.43898148148148203,0.69,0.09,0.139437721433378
2,215,8.00433,5.68028,167,1,99,0.425833333333334,0.74,0.07,0.152983567622855
3,118,8.90555555555556,5.34722222222222,88,5,783,0.491481481481482,0.79,0.12,0.164616886375692
4,219,8.10072,5.91742,62,5,104,0.432407407407408,0.67,0.1,0.122397165460813
5,212,8.18251,5.10454,167,3,109,0.415,0.85,0.1,0.165600013544629
6,116,8.92916666666667,5.35555555555556,66,3,909,0.436388888888889,0.8,0.09,0.191581994029024
7,16,11.36,4.885,163,11,503,0.501944444444445,0.78,0.18,0.147606817544684
8,217,8.06749,5.8978,83,0,103,0.373148148148148,0.69,0.08,0.126717347897677
9,112,9.01805555555556,5.59305555555556,30,4,751,0.480833333333333,0.8,0.1,0.14419045686337
10,104,9.3125,6.00416666666667,57,4,268,0.486574074074074,0.84,0.13,0.152033948723813
11,92,11.50833333,3.35,128,29,392,0.452870370370371,0.82,0.09,0.177821978215039
12,93,11.67083333,3.391666667,402,52,497,0.445462962962963,0.8,0.08,0.188527913891743
13,40,11.283,4.084,185,46,554,0.446944444444444,0.81,0.08,0.185927623006601
14,114,8.95694444444444,5.47222222222222,26,4,858,0.494259259259259,0.9,0.15,0.170443093272524
15,111,9.05277777777778,5.58055555555556,181,20,801,0.482222222222222,0.85,0.17,0.142614658468087
16,108,9.30555555555556,5.94583333333333,128,8,518,0.48462962962963,0.82,0.16,0.161681733783114
17,6,10.345,5.253,156,2,1795,0.482592592592593,0.72,0.18,0.132709861104354
18,306,13.61667,4.433333,169,37,655,0.545462962962963,0.79,0.11,0.163646440517179
19,17,11.23,4.435,136,7,415,0.386296296296296,0.74,0.15,0.152466283035921
20,8,10.23,5.5,151,3,1396,0.5325,0.8,0.27,0.133781276367591
21,7,10.245,5.393,152,3,1523,0.511944444444445,0.74,0.23,0.129372737838966
22,341,14.02778,5.080556,128,60,759,0.513518518518519,0.83,0.1,0.169337989813409
23,9,10.165,5.418,150,2,1673,0.521203703703704,0.78,0.22,0.135396389966872
24,326,15.02222,4.144444,28,12,586,0.606388888888889,0.83,0.19,0.146437178858462
25,3,10.224,5.034,151,20,575,0.49787037037037,0.88,0.15,0.179605231309893
26,120,10.6416666666667,6.57638888888889,195,0,1368,0.50037037037037,0.76,0.2,0.154973171786904
27,5,10.365,5.294,150,2,1703,0.497592592592593,0.72,0.26,0.11458066880693
28,14,10.381,5.176,90,0,1446,0.482962962962963,0.73,0.11,0.123411470855841
29,4,10.26,5.38,79,0,1554,0.52787037037037,0.74,0.16,0.114451564468151
30,1,10.049,5.098,150,11,958,0.602962962962963,0.87,0.29,0.119549459981186
31,226,9.14876,6.63014,132,11,212,0.452777777777778,0.75,0.16,0.143030180027691
32,228,9.12713,6.58249,136,6,573,0.486481481481482,0.74,0.19,0.127874901009013
33,318,14.55,4.794444,152,18,723,0.502037037037037,0.79,0.2,0.176045657094383
